timestamp,container,memory_used_mb,memory_limit_mb,memory_percent,cpu_percent
2025-12-04 23:32:43,budget-web-backend,460.70,48056.32,0,
2025-12-04 23:32:43,budget-web-frontend,85.57,48056.32,0,
2025-12-04 23:32:52,budget-web-backend,460.90,48056.32,0,
2025-12-04 23:32:52,budget-web-frontend,85.61,48056.32,0,
2025-12-04 23:33:01,budget-web-backend,460.90,48056.32,0,
2025-12-04 23:33:01,budget-web-frontend,85.64,48056.32,0,
2025-12-04 23:33:10,budget-web-backend,460.70,48056.32,0,
2025-12-04 23:33:10,budget-web-frontend,85.68,48056.32,0,
2025-12-04 23:33:19,budget-web-backend,460.70,48056.32,0,
2025-12-04 23:33:19,budget-web-frontend,85.71,48056.32,0,
2025-12-04 23:33:28,budget-web-backend,460.70,48056.32,0,
2025-12-04 23:33:28,budget-web-frontend,85.75,48056.32,0,
2025-12-04 23:33:37,budget-web-backend,460.70,48056.32,0,
2025-12-04 23:33:37,budget-web-frontend,85.79,48056.32,0,
2025-12-04 23:33:46,budget-web-backend,460.70,48056.32,0,
2025-12-04 23:33:46,budget-web-frontend,85.82,48056.32,0,
2025-12-04 23:33:55,budget-web-backend,460.70,48056.32,0,
2025-12-04 23:33:55,budget-web-frontend,85.86,48056.32,0,
2025-12-04 23:34:04,budget-web-backend,460.70,48056.32,0,
2025-12-04 23:34:04,budget-web-frontend,85.90,48056.32,0,
2025-12-04 23:34:13,budget-web-backend,460.70,48056.32,0,
2025-12-04 23:34:13,budget-web-frontend,85.94,48056.32,0,
2025-12-04 23:34:22,budget-web-backend,460.70,48056.32,0,
2025-12-04 23:34:22,budget-web-frontend,84.92,48056.32,0,
2025-12-04 23:34:32,budget-web-backend,460.70,48056.32,0,
2025-12-04 23:34:32,budget-web-frontend,84.95,48056.32,0,
2025-12-04 23:34:41,budget-web-backend,460.70,48056.32,0,
2025-12-04 23:34:41,budget-web-frontend,84.98,48056.32,0,
2025-12-04 23:34:50,budget-web-backend,460.70,48056.32,0,
2025-12-04 23:34:50,budget-web-frontend,85.01,48056.32,0,
2025-12-04 23:34:59,budget-web-backend,460.70,48056.32,0,
2025-12-04 23:34:59,budget-web-frontend,85.04,48056.32,0,
2025-12-04 23:35:08,budget-web-backend,460.70,48056.32,0,
2025-12-04 23:35:08,budget-web-frontend,85.07,48056.32,0,
2025-12-04 23:35:17,budget-web-backend,460.70,48056.32,0,
2025-12-04 23:35:17,budget-web-frontend,85.09,48056.32,0,
2025-12-04 23:35:26,budget-web-backend,460.70,48056.32,0,
2025-12-04 23:35:26,budget-web-frontend,85.13,48056.32,0,
2025-12-04 23:35:35,budget-web-backend,460.70,48056.32,0,
2025-12-04 23:35:35,budget-web-frontend,85.14,48056.32,0,
2025-12-04 23:35:44,budget-web-backend,460.70,48056.32,0,
2025-12-04 23:35:44,budget-web-frontend,85.18,48056.32,0,
2025-12-04 23:35:53,budget-web-backend,460.70,48056.32,0,
2025-12-04 23:35:53,budget-web-frontend,85.20,48056.32,0,
2025-12-04 23:36:02,budget-web-backend,460.70,48056.32,0,
2025-12-04 23:36:02,budget-web-frontend,85.24,48056.32,0,
2025-12-04 23:36:11,budget-web-backend,460.70,48056.32,0,
2025-12-04 23:36:11,budget-web-frontend,85.27,48056.32,0,
2025-12-04 23:36:20,budget-web-backend,460.70,48056.32,0,
2025-12-04 23:36:20,budget-web-frontend,85.15,48056.32,0,
2025-12-04 23:36:29,budget-web-backend,460.70,48056.32,0,
2025-12-04 23:36:29,budget-web-frontend,85.19,48056.32,0,
